1,Manchester United,England,Greater Manchester,1878,1,1,1
2,FC Barcelona,Spain,Barcelona,1899,2,2,35
3,Bayern Munich,Germany,Munich,1900,3,3,5
4,AC Milan,Italy,Milan,1899,4,4,74
5,Paris Saint-Germain,France,Paris,1970,5,5,116
6,Ajax,Netherlands,Amsterdam,1900,6,6,137
7,Benfica,Portugal,Lisbon,1904,7,7,106
11,Manchester City,England,Manchester,1880,44,1,2
12,Liverpool,England,Liverpool,1892,11,1,3
13,Chelsea,England,London,1905,45,1,91
14,Arsenal,England,London,1886,16,1,20
15,Tottenham Hotspur,England,London,1882,46,1,9
16,Leicester City,England,Leicester,1884,47,1,15
17,West Ham United,England,London,1895,59,1,85
18,Everton,England,Liverpool,1878,48,1,48
19,Aston Villa,England,Birmingham,1874,53,1,21
20,Newcastle United,England,Newcastle,1892,50,1,30
21,Southampton,England,Southampton,1885,58,1,82
22,Crystal Palace,England,London,1905,55,1,27
23,Wolverhampton Wanderers,England,Wolverhampton,1877,49,1,40
24,Leeds United,England,Leeds,1919,51,1,19
25,Brighton & Hove Albion,England,Brighton,1901,54,1,24
26,West Bromwich,England,West Bromwich,1882,60,1,158
27,Sheffield United,England,Sheffield,1902,57,1,32
28,AFC Bournemouth,England,Bournemouth,1881,56,1,22
29,Fulham,England,Brentford,1889,52,1,26
